date,cases,country
14.2.20,0,Italy
13.2.20,0,Italy
12.2.20,0,Italy
11.2.20,0,Italy
10.2.20,0,Italy
9.2.20,0,Italy
8.2.20,0,Italy
7.2.20,0,Italy
6.2.20,0,Italy
5.2.20,0,Italy
4.2.20,0,Italy
3.2.20,0,Italy
2.2.20,0,Italy
1.2.20,0,Italy
31.1.20,3,Italy
30.1.20,0,Italy
29.1.20,0,Italy
28.1.20,0,Italy
27.1.20,0,Italy
26.1.20,0,Italy
25.1.20,0,Italy
24.1.20,0,Italy
23.1.20,0,Italy
22.1.20,0,Italy
21.1.20,0,Italy
20.1.20,0,Italy
19.1.20,0,Italy
18.1.20,0,Italy
17.1.20,0,Italy
16.1.20,0,Italy
15.1.20,0,Italy
14.1.20,0,Italy
13.1.20,0,Italy
12.1.20,0,Italy
11.1.20,0,Italy
10.1.20,0,Italy
9.1.20,0,Italy
8.1.20,0,Italy
7.1.20,0,Italy
6.1.20,0,Italy
5.1.20,0,Italy
4.1.20,0,Italy
3.1.20,0,Italy
2.1.20,0,Italy
1.1.20,0,Italy
31.12.19,0,Italy
16.6.20,85,Japan
15.6.20,73,Japan
14.6.20,47,Japan
13.6.20,50,Japan
12.6.20,40,Japan
11.6.20,41,Japan
10.6.20,41,Japan
9.6.20,36,Japan
8.6.20,33,Japan
7.6.20,38,Japan
6.6.20,39,Japan
5.6.20,46,Japan
4.6.20,32,Japan
3.6.20,56,Japan
2.6.20,46,Japan
1.6.20,33,Japan
31.5.20,47,Japan
30.5.20,85,Japan
29.5.20,68,Japan
28.5.20,0,Japan
27.5.20,28,Japan
26.5.20,42,Japan
25.5.20,31,Japan
24.5.20,14,Japan
23.5.20,23,Japan
22.5.20,89,Japan
21.5.20,39,Japan
20.5.20,20,Japan
19.5.20,60,Japan
18.5.20,20,Japan
17.5.20,48,Japan
16.5.20,44,Japan
15.5.20,114,Japan
14.5.20,55,Japan
13.5.20,150,Japan
12.5.20,76,Japan
11.5.20,51,Japan
10.5.20,119,Japan
9.5.20,81,Japan
8.5.20,84,Japan
7.5.20,109,Japan
6.5.20,123,Japan
5.5.20,174,Japan
4.5.20,218,Japan
3.5.20,295,Japan
2.5.20,263,Japan
1.5.20,193,Japan
30.4.20,236,Japan
29.4.20,276,Japan
28.4.20,191,Japan
27.4.20,203,Japan
26.4.20,290,Japan
25.4.20,652,Japan
24.4.20,468,Japan
23.4.20,276,Japan
22.4.20,378,Japan
21.4.20,367,Japan
20.4.20,390,Japan
19.4.20,566,Japan
18.4.20,628,Japan
17.4.20,585,Japan
16.4.20,482,Japan
15.4.20,455,Japan
14.4.20,390,Japan
13.4.20,507,Japan
12.4.20,1401,Japan
11.4.20,680,Japan
10.4.20,410,Japan
9.4.20,351,Japan
8.4.20,89,Japan
7.4.20,163,Japan
6.4.20,383,Japan
5.4.20,336,Japan
4.4.20,318,Japan
3.4.20,439,Japan
2.4.20,225,Japan
1.4.20,0,Japan
31.3.20,87,Japan
30.3.20,173,Japan
29.3.20,194,Japan
28.3.20,135,Japan
27.3.20,96,Japan
26.3.20,75,Japan
25.3.20,65,Japan
24.3.20,39,Japan
23.3.20,43,Japan
22.3.20,39,Japan
21.3.20,57,Japan
20.3.20,77,Japan
19.3.20,44,Japan
18.3.20,5,Japan
17.3.20,10,Japan
16.3.20,34,Japan
15.3.20,43,Japan
14.3.20,62,Japan
13.3.20,56,Japan
12.3.20,51,Japan
11.3.20,54,Japan
10.3.20,26,Japan
9.3.20,33,Japan
8.3.20,47,Japan
7.3.20,59,Japan
6.3.20,32,Japan
5.3.20,49,Japan
4.3.20,14,Japan
3.3.20,0,Japan
2.3.20,15,Japan
1.3.20,9,Japan
29.2.20,20,Japan
28.2.20,24,Japan
27.2.20,22,Japan
26.2.20,20,Japan
25.2.20,0,Japan
24.2.20,12,Japan
23.2.20,27,Japan
22.2.20,12,Japan
21.2.20,9,Japan
20.2.20,18,Japan
19.2.20,7,Japan
18.2.20,0,Japan
17.2.20,7,Japan
16.2.20,14,Japan
15.2.20,8,Japan
14.2.20,1,Japan
13.2.20,4,Japan
12.2.20,0,Japan
11.2.20,0,Japan
10.2.20,0,Japan
9.2.20,0,Japan
8.2.20,0,Japan
7.2.20,0,Japan
6.2.20,0,Japan
5.2.20,5,Japan
4.2.20,0,Japan
3.2.20,1,Japan
2.2.20,4,Japan
1.2.20,1,Japan
31.1.20,3,Japan
30.1.20,4,Japan
29.1.20,3,Japan
28.1.20,1,Japan
27.1.20,0,Japan
26.1.20,1,Japan
25.1.20,0,Japan
24.1.20,1,Japan
23.1.20,0,Japan
22.1.20,0,Japan
21.1.20,0,Japan
20.1.20,0,Japan
19.1.20,0,Japan
18.1.20,0,Japan
17.1.20,0,Japan
16.1.20,0,Japan
15.1.20,1,Japan
14.1.20,0,Japan
13.1.20,0,Japan
12.1.20,0,Japan
11.1.20,0,Japan
10.1.20,0,Japan
9.1.20,0,Japan
8.1.20,0,Japan
7.1.20,0,Japan
6.1.20,0,Japan
5.1.20,0,Japan
4.1.20,0,Japan
3.1.20,0,Japan
2.1.20,0,Japan
1.1.20,0,Japan
31.12.19,0,Japan
16.6.20,8246,Russia
15.6.20,8835,Russia
14.6.20,8706,Russia
13.6.20,8987,Russia
12.6.20,8779,Russia
11.6.20,8404,Russia
10.6.20,8595,Russia
9.6.20,8985,Russia
8.6.20,8984,Russia
7.6.20,8855,Russia
6.6.20,8726,Russia
5.6.20,8831,Russia
4.6.20,8536,Russia
3.6.20,8863,Russia
2.6.20,9035,Russia
1.6.20,9268,Russia
31.5.20,8952,Russia
30.5.20,8572,Russia
29.5.20,8371,Russia
28.5.20,8338,Russia
27.5.20,8915,Russia
26.5.20,8946,Russia
25.5.20,8599,Russia
